"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\moham\BloodSync\src\pages\AdminLogin.tsx", "TypeScript JSX", 87, 3, 16, 106
"c:\Users\moham\BloodSync\src\pages\AdminPage.tsx", "TypeScript JSX", 503, 14, 47, 564
"c:\Users\moham\BloodSync\src\pages\DonorsPage.tsx", "TypeScript JSX", 200, 14, 37, 251
"c:\Users\moham\BloodSync\src\pages\HospitalDashboard.tsx", "TypeScript JSX", 227, 5, 26, 258
"c:\Users\moham\BloodSync\src\pages\HospitalLogin.tsx", "TypeScript JSX", 137, 2, 17, 156
"c:\Users\moham\BloodSync\src\pages\Index.tsx", "TypeScript JSX", 177, 7, 14, 198
"c:\Users\moham\BloodSync\src\pages\NotFound.tsx", "TypeScript JSX", 20, 0, 5, 25
"c:\Users\moham\BloodSync\src\pages\RegisterDonorPage.tsx", "TypeScript JSX", 224, 10, 32, 266
"c:\Users\moham\BloodSync\src\pages\RequestBloodPage.tsx", "TypeScript JSX", 248, 4, 30, 282
"Total", "-", 1823, 59, 224, 2106